Name,Theoretical
Formaldehyde,164.0818
Screened CCMs01_1,166.0862
Screened CCMs01_6,166.0863
Screened CCMs02_1,167.0835
Screened CCMs02_4,167.0836
Screened CCMs03_1,168.0903
Screened CCMs03_4,168.0929
Screened CCMs03_6,168.093
Screened CCMs03_7,168.1019
Screened CCMs03_8,168.102
Screened CCMs03_9,169.0939
Screened CCMs03_10,169.094
Screened CCMs03_12,169.0941
Screened CCMs04_1,170.0818
Screened CCMs04_4,172.0792
Screened CCMs04_11,172.0793
FAL 2:1,176.0818646
FAL 2:0,178.0975146
Formic acid,180.0766
Screened CCMs05_1,180.1019
Screened CCMs06_1,181.0741
Screened CCMs06_2,181.0743
Screened CCMs06_3,184.108
Screened CCMs07_2,187.0978
FAL 3:2,188.0818646
FAL 3:1,190.0975146
FAL 2:1;O,192.0767792
FAL 3:0,192.1131646
FAL 2:0;O,194.0924292
Screened CCMs08,198.1131
FAL 4:1,204.1131646
FAL 3:1;O,206.0924292
FAL 4:0,206.1288146
FA 2:1;O,208.0716938
Screened CCMs09_1,208.0976
FAL 3:0;O,208.1080792
Screened CCMs10_1,209.1019
Screened CCMs10_2,209.102
Glycine,209.1033
Screened CCMs11_1,210.0875
Screened CCMs11_2,210.0877
Screened CCMs12,211.121
Screened CCMs13,215.0977
FAL 5:1,218.1288146
FAL 5:0,220.1445
Screened CCMs14,222.0786
Pyruvic acid,222.0873
FAL 4:0;O,222.1237292
Screened CCMs15_1,223.1077
Screened CCMs15_4,223.1078
L-Lactic acid,224.1029
Screened CCMs16_1,224.1141
Screened CCMs16_5,224.1142
Screened CCMs16_8,224.1143
Screened CCMs17,226.1445
FAL 6:2,230.1288146
Screened CCMs18,231.0852
FAL 5:2;O,232.1080792
FAL 6:1,232.1445
Screened CCMs19_1,233.1523
FA 4:2;O,234.0873438
FAL 5:1;O,234.1237292
FAL 6:0,234.1601
2-Ketobutyric acid,236.1029
Valeric acid,236.1393
Ethoxyacetic acid,238.1185
Screened CCMs19_2,239.1158
Screened CCMs19_4,239.1159
FAL 7:4,240.1131646
FAL 7:2,244.1445
FAL 7:1,246.1601
FA 5:2;O,248.1027
FAL 6:1;O,248.1394
FAL 7:0,248.1758
FA 5:1;O,250.1183
FAL 6:0;O,250.155
Erythronilic acid,252.1341
FAL 8:4,254.1288146
FAL 7:4;O,256.1080792
FAL 8:3,256.1445
FAL 8:2,258.1601
FAL 7:2;O,260.1394
FAL 8:1,260.1758
Screened CCMs20,261.1834
FA 6:2;O,262.1183
Screened CCMs21,262.1285
FAL 7:1;O,262.155
FAL 8:0,262.1914
Screened CCMs22_1,264.1342
Screened CCMs22_4,264.1343
FAL 7:0;O,264.1706792
Screened CCMs23_1,265.1313
Screened CCMs23_2,265.1316
Screened CCMs24_1,266.1135
FAL 9:5,266.1288146
Screened CCMs24_2,266.1499
FA 5:0;O,268.129
FA 5:0;O,268.1292
FA 5:0;O,268.1294
FA 5:0;O,268.1296
FAL 9:4,268.1444646
FAL 8:4;O,270.1237292
FAL 9:3,270.1601
FAL 9:2,272.1758
FAL 9:1,274.1914
FA 7:2;O,276.1342938
Screened CCMs25_1,276.1438
Screened CCMs25_2,276.144
FAL 8:1;O,276.1707
FAL 9:0,276.2071
Screened CCMs26_1,277.1294
Screened CCMs26_3,277.1295
Screened CCMs26_4,277.1296
FA 7:1;O,278.1496
FAL 8:0;O,278.1863292
Oxoglutaric acid,280.0927
Screened CCMs27,280.1289
Screened CCMs28,280.1404
Screened CCMs29_1,281.1033
Screened CCMs30_1,282.1598
Screened CCMs30_2,282.1599
FAL 10:4,282.16
Screened CCMs30_3,282.1601
Screened CCMs31,284.103
Screened CCMs32,284.1238
LMFA01050386,284.124
FAL 10:3,284.1758
Hydroxyphenyl acetate,286.1184
FAL 9:3;O,286.1550292
FAL 10:2,286.1914
FA 8:3;O,288.1342938
FAL 9:2;O,288.1707
FAL 10:1,288.2071
Screened CCMs33,290.1232
FA 8:2;O,290.1496
FAL 9:1;O,290.1863
FAL 10:0,290.2227
Screened CCMs34_1,291.141
Screened CCMs34_2,291.1412
FA 7:2;O2,292.1292084
FA 8:1;O,292.1653
FAL 9:0;O,292.2019792
Screened CCMs35,294.1599
Aminoadipic acid,295.1401
FAL 11:4,296.1758
Screened CCMs36_1,298.1182
Screened CCMs36_2,298.1186
Screened CCMs37,298.155
FAL 11:3,298.1914
FAL 11:2,300.2071
Screened CCMs38,302.1134
FAL 10:2;O,302.1863292
Screened CCMs39_1,302.1962
FAL 11:1,302.2227
FA 9:2;O,304.1653
FAL 10:1;O,304.2019792
FAL 11:0,304.2384
Screened CCMs39_2,305.1971
Screened CCMs39_5,305.1972
FA 8:2;O2,306.1446
FAL 12:6,306.1601146
FA 9:1;O,306.1809
FAL 9:1;O2,306.1812
FAL 10:0;O,306.2176292
Screened CCMs40,307.086
FA 8:1;O2,308.1605084
FAL 12:5,308.1758
Ascorbic acid,310.1033
FAL 12:4,310.1914146
FAL 12:3,312.2070646
D-Glucose,314.1344
FAL 11:3;O,314.1863292
FAL 12:2,314.2227
Screened CCMs41,315.1759
Screened CCMs42_1,316.1441
Screened CCMs42_2,316.1444
Screened CCMs42_4,316.1445
FA 10:3;O,316.1653
FAL 11:2;O,316.2019792
FAL 12:1,316.2384
Screened CCMs43,318.0942
Screened CCMs44_1,318.1083
Screened CCMs44_2,318.1084
FA 10:2;O,318.1809
FAL 11:1;O,318.2176292
FAL 12:0,318.254
Screened CCMs45,318.7331
FA 9:2;O2,320.1605084
FA 10:1;O,320.1966
FAL 11:0;O,320.2332792
FAL 12:6;O,322.1550292
FA 9:1;O2,322.1761584
Screened CCMs46,322.1911
Screened CCMs47,324.1343
Hydroxysuberic acid,324.1553
FAL 13:4,324.2070646
Screened CCMs48,325.0966
FAL 12:4;O,326.1863292
FAL 13:3,326.2227
Butyl salicylate,328.1655
FAL 12:3;O,328.2019792
FAL 13:2,328.2383646
Screened CCMs49,330.1599
FA 11:3;O,330.1809
FAL 12:1;O,330.2176
FAL 12:2;O,330.2176292
FAL 13:1,330.254
FA 10:3;O2,332.1605084
FA 11:2;O,332.1968938
FAL 13:0,332.2697
FA 10:2;O2,334.1759
FA 11:1;O,334.2122
FAL 12:0;O,334.2489292
Screened CCMs50_1,336.1705
Screened CCMs50_2,336.1706
FA 10:1;O2,336.1918084
FAL 14:5,336.2070646
Screened CCMs50_3,338.186
Screened CCMs50_5,338.1861
Screened CCMs50_6,338.1862
Screened CCMs50_8,338.1863
Screened CCMs50_9,338.1864
FAL 14:4,338.2227
FAL 13:4;O,340.2019792
FAL 14:3,340.2384
Screened CCMs51,341.195
FA 12:4;O,342.1809
FAL 13:3;O,342.2176292
FAL 14:2,342.254
FA 12:3;O,344.1968938
FAL 13:2;O,344.2332792
FAL 14:1,344.2697
FA 11:3;O2,346.1761584
FA 12:2;O,346.2122
FAL 13:1;O,346.2489292
FAL 14:0,346.2853
Screened CCMs52_1,347.2439
Screened CCMs52_2,347.244
Screened CCMs52_3,347.2441
FA 11:2;O2,348.1918084
FAL 15:6,348.2070646
FA 12:1;O,348.2279
FAL 13:0;O,348.2645792
FA 11:1;O2,350.2074584
FAL 15:5,350.2227146
FAL 15:4,352.2384
FA 13:5;O,354.1812438
FAL 14:4;O,354.2176292
FAL 15:3,354.2540146
FAL 16:9,356.1757646
FA 13:4;O,356.1968938
FAL 14:3;O,356.2332792
FA 12:4;O2,358.1761584
FA 13:3;O,358.2122
FAL 14:2:O,358.2489
FAL 15:1,358.2853
FA 12:3;O2,360.1918084
FAL 16:7,360.2070646
FA 13:2;O,360.2281938
FAL 14:1;O,360.2646
FAL 15:0,360.301
Screened CCMs53_1,361.2596
Screened CCMs53_2,361.2597
Screened CCMs53_4,361.2598
FA 12:2;O2,362.2072
FAL 16:6,362.2227146
FA 13:1;O,362.2435
FAL 14:0;O,362.2802292
FA 12:1;O2,364.2231084
FAL 16:5,364.2383646
FAL 15:5;O,366.2176292
FAL 16:4,366.2540146
FAL 14:5;O2,368.1969
FAL 15:4;O,368.2332792
FAL 16:3,368.2697
FA 14:4;O,370.2125438
FAL 15:3;O,370.2489292
FAL 16:2,370.2853
FA 13:4;O2,372.1918084
FA 14:3;O,372.2281938
FAL 15:2;O,372.2645792
FAL 16:1,372.301
Screened CCMs54,374.15
FA 13:3;O2,374.2074584
FA 14:2;O,374.2435
FAL 15:1;O,374.2802292
FAL 16:0,374.3166
FA 13:2;O2,376.2231084
FAL 17:6,376.2383646
FA 14:1;O,376.2592
FAL 15:0;O,376.2958792
FAL 17:5,378.2540146
Screened CCMs55,380.1968
FAL 16:5;O,380.2332792
FAL 17:4,380.2696646
Screened CCMs56,381.0958
FA 15:5;O,382.2125438
FAL 16:4;O,382.2489292
FAL 17:3,382.2853
FA 15:4;O,384.2281938
FAL 16:3;O,384.2645792
FAL 17:2,384.301
FA 14:4;O2,386.2074584
FA 15:3;O,386.2438438
FAL 16:2;O,386.2802
FAL 17:1,386.3166
FA 14:3;O2,388.2231084
FA 15:2;O,388.2594938
FAL 16:1;O,388.2958792
FAL 17:0,388.3323
FA 14:2;O2,390.2387584
FA 15:1;O,390.2748
FAL 16:0;O,390.3115
FAL 17:6;O,392.2332792
Screened CCMs57,392.2695
FAL 18:4,394.2853146
FA 16:5;O,396.2281938
FAL 17:4;O,396.2645792
FAL 18:3,396.301
FAL 18:10;O,398.1863292
FA 15:5;O2,398.2074584
FA 16:4;O,398.2438438
FAL 17:3;O,398.2802292
FAL 18:2,398.3166
FA 15:4;O2,400.2231084
FA 16:3;O,400.2592
FAL 17:2;O,400.2958792
FAL 18:1,400.3323
Screened CCMs58,402.1507
Screened CCMs59_1,402.2172
Screened CCMs59_2,402.2175
Screened CCMs59_3,402.2176
FA 15:3;O2,402.2387584
FA 16:2;O,402.2748
FAL 17:1;O,402.3115292
FAL 18:0,402.3479
FA 15:2;O2,404.2544084
FA 16:1;O,404.2905
FAL 17:0;O,404.3271792
FA 15:1;O2,406.2700584
FAL 19:5,406.2853146
FAL 19:4,408.3009646
FA 17:5;O,410.2438438
FAL 18:4;O,410.2802292
FAL 19:3,410.3166146
FA 16:5;O2,412.2231084
FA 17:4;O,412.2592
FAL 18:3;O,412.2958792
FAL 19:2,412.3322646
FA 16:4;O2,414.2387584
FA 17:3;O,414.2751438
FAL 18:2;O,414.3115292
FAL 19:1,414.3479
FA 16:3;O2,416.2544084
FA 17:2;O,416.2907938
FAL 18:1;O,416.3271792
FAL 19:0,416.3636
FA 16:2;O2,418.2700584
FAL 20:6,418.2853146
FA 17:1;O,418.3061
FAL 18:0;O,418.3428292
Screened CCMs60,419.3016
FAL 20:5,420.3009646
FAL 20:4,422.3166
FA 18:5;O,424.2592
FAL 19:4;O,424.2958792
FA 17:5;O2,426.2387584
FA 18:4;O,426.2751438
FA 17:4;O2,428.2544084
FA 18:3;O,428.2905
FA 17:3;O2,430.2700584
FA 18:2;O,430.3061
FAL 20:0,430.3792
FA 17:2;O2,432.2857084
FA 18:1;O,432.3220938
FAL 20:6;O,434.2802292
Screened CCMs61_1,434.3165
Screened CCMs61_2,434.3173
FAL 20:4;O,438.3115292
FA 18:5;O2,440.2544084
FAL 20:3;O,440.3271792
FA 18:4;O2,442.2700584
Acetylneuraminic acid,443.1772
FA 18:3;O2,444.2854
FAL 20:1;O,444.3584792
Screened CCMs62,446.171
FA 18:2;O2,446.3013584
FAL 20:0;O,446.3741292
FA 18:1;O2,448.3167
Screened CCMs63,450.2751
FA 20:5;O,452.2907938
FA 20:4;O,454.3064438
FA 20:3;O,456.3218
FA 19:3;O2,458.3013584
FA 20:2;O,458.3377438
FA 20:1;O,460.3531
FA 19:1;O2,462.3326584
FA 20:5;O2,468.2857084
FA 20:4;O2,470.3013584
FA 20:3;O2,472.3170084
Lactulose,476.1874
Screened CCMs64,482.2995
Screened CCMs65,482.3013
Screened CCMs66,484.317
Screened CCMs67_1,485.1878
Screened CCMs67_2,485.1879
Screened CCMs68,490.1609
Screened CCMs69,494.2032
Screened CCMs70_1,496.2806
Screened CCMs71,502.237
Screened CCMs72_1,504.2526
Screened CCMs72_2,504.2527
Screened CCMs73,516.1765
Screened CCMs74,518.2321
Screened CCMs75,530.2684
Screened CCMs76_1,564.3793
Screened CCMs76_2,564.3797
Screened CCMs77,581.3696
Screened CCMs78,595.3488
Screened CCMs79,597.3645
Screened CCMs80,600.3279
Screened CCMs81_1,638.2402
Screened CCMs81_2,638.2403
Screened CCMs82,647.4138
Screened CCMs83_1,648.3924
Screened CCMs83_2,648.3925
Screened CCMs84_1,671.4137
Screened CCMs84_2,671.4138
Screened CCMs85,695.4142
Screened CCMs86,789.1743
Screened CCMs87_1,800.2927
Screened CCMs87_2,800.2929
Screened CCMs88,830.5857
Screened CCMs89,943.6698
